Оценка;Комментарий
Excellent (5);GraphQL - тема, хочется увидеть больше докладов про эту технологию
Excellent (5);Хороший обзор, но слайдов и вообще информации было многовато)
Excellent (5);Отличный доклад. Заинтересовался этой технологией.
Excellent (5);Отлично воспринималось
Excellent (5);Я как человек с почти 3-х летним опытом GraphQL, успевал за всем, о чем говорит Павел. Все по делу и все самое важное, узнал для себя пару важных моментов, за что очень благодарен. Но думаю, что доклад был очень перегружен вследствие большого количество тем которые спикер вместил в крайне ограниченное время доклада. Для тех, кто не знаком достаточно близко с технологией, это был выстрел в голову :-), Павел очень быстро и сжато рассказывал и перепрыгивал по слайдам, пара моих друзей потерялись через 10 минут и ушли из зала вследствие закипания мозга :-). Но на мой взгляд, это один из лучших докладов и один из лучших спикеров. Я бы выделил под доклад больше времени.
Excellent (5);практическая применимость, хардкорность
Excellent (5);Шёл послушать о новой для себя технологии, очень заинтересовало, глубоко засела мысль что-то на Graph QL. Понравилась подача доклада, высокий темп с акцентом на важное, постоянно был сконцентрирован.
Excellent (5);Топовый доклад, ради таких хочется ходить на конференции. Чувак выдал просто тонну информации, очень чётко, куча всего хочется попробовать
Excellent (5);Это еще один из докладов, которые мне понравились. Жаль, что времени было крайне мало на весь доклад, но в целом было очень круто и понятно. Примеряя к себе, невольно сравниваешь ситуации взаимодействия с бэкендом и понимаешь, чего именно не хватает для полного счастья.
Excellent (5);Автор зажигал
Excellent (5);Я фронтендер, но было интересно узнать про GraphQL, доклад был очень хорошим, вначале была стадия для новичков, кто не использовал эту технологию и не знал что она вообще из себя представляет. Дальше было углубление в детали, уже для ребят, которые имели с этим дело. Доклад был информативным, интересным, не скучным.
Excellent (5);Просто великолепно
Excellent (5);Да он хрененен! Я аж загорелся что-нибудь напилить на GraphQL. Много материала, кейсов, информации. Не хватило времени все охватить. Все по делу
Excellent (5);Докладчик рассказывал с хорошей скоростью и покрывал как кейсы для новичков, так и немного углубляясь в дебри. Единственный минус — бегание по слайдам и пропуск каких-то частей из-за нехватки времени.
Excellent (5);Отличная подача, как раз обсуждали в компании graphql. Жаль что доклад длился не 3 часа
Excellent (5);Самый огненный доклад, выразил респект Павлу лично
